,Device,second,X_absdif,Y_absdif,Z_absdif,Device,second,X_avg,Y_avg,Z_avg
0,7,1970-01-01 00:22:16,3687.3958808360007,3283.9747811719035,3986.8119428639707,7,1970-01-01 00:22:16,0.4559594619636695,7.410138676130699,4.665211588029944
1,7,1970-01-01 00:22:17,60788.38818005768,63687.793177762185,74924.00864721568,7,1970-01-01 00:22:17,0.9072262297497865,6.07289635078383,4.970927904761203
2,7,1970-01-01 00:22:18,53778.390285990645,55347.90400469931,68945.81941224274,7,1970-01-01 00:22:18,0.7412402884187869,5.81095021211268,3.0370891830330846
3,7,1970-01-01 00:22:19,31594.49407051284,33003.001558794786,36655.679592297456,7,1970-01-01 00:22:19,0.8327625068424411,5.926072512405765,5.437881752373879
4,7,1970-01-01 00:22:20,35671.622621817536,35390.811626135575,39105.08096572049,7,1970-01-01 00:22:20,1.0048343797226411,5.853293839201061,3.8656631683437435
5,7,1970-01-01 00:22:21,48671.114099138125,48549.85247342028,55585.55359427861,7,1970-01-01 00:22:21,1.8508750770721498,4.348400148585605,6.015971898881958
6,7,1970-01-01 00:22:22,23477.815623471182,22753.567374078273,27099.46642127419,7,1970-01-01 00:22:22,0.4549701944169826,5.837656493533053,6.002708154756904
7,7,1970-01-01 00:22:23,24367.68766946021,25518.947447100716,27424.502732762372,7,1970-01-01 00:22:23,1.2755630050096232,4.283700227700923,4.402503067992702
8,8,1970-01-01 00:22:16,5369.004850688011,5989.629596516049,6474.282495220033,8,1970-01-01 00:22:16,0.2673640633424332,3.3579144724827756,8.437530828351138
9,8,1970-01-01 00:22:17,15842.34404187283,15767.840724938262,17486.401397380294,8,1970-01-01 00:22:17,0.07161572558508825,3.7499405191968647,8.266026461805922
10,8,1970-01-01 00:22:18,12668.517007878469,13853.786818492352,14991.971140540276,8,1970-01-01 00:22:18,0.25427174291844307,4.173048911950275,7.703201607762525
11,8,1970-01-01 00:22:19,19171.94690741649,19819.948552744103,23047.94371609254,8,1970-01-01 00:22:19,0.32814340093210015,3.298484520449562,7.206591283465001
12,8,1970-01-01 00:22:20,19389.164275196727,21741.548091013698,26142.09181136295,8,1970-01-01 00:22:20,0.16917820764807756,4.0398429471031925,7.8979444800747665
13,8,1970-01-01 00:22:21,8527.604371700247,8509.325796512154,9927.530892572147,8,1970-01-01 00:22:21,0.08977773505199711,3.6117475207369707,8.185687145590576
14,8,1970-01-01 00:22:22,13183.788354354541,14035.05998799215,15380.518891017908,8,1970-01-01 00:22:22,-0.18021967015043786,3.920255528495434,7.486916942610139
15,8,1970-01-01 00:22:23,10900.77292795638,12397.894304568184,13081.56752270805,8,1970-01-01 00:22:23,-0.23308727710569904,2.963897364727406,7.51705408801124
16,8,1970-01-01 00:22:24,17747.871530706532,19954.49032766393,19129.31525657102,8,1970-01-01 00:22:24,0.043745023245313985,1.2334164694271115,6.921320641998129
17,8,1970-01-01 00:22:25,14149.144100950893,15487.888101446191,17216.62354826434,8,1970-01-01 00:22:25,0.15548564158624467,3.460158782963259,8.117463840905527
18,8,1970-01-01 00:22:26,16206.361413536712,17408.30253310402,18702.208510706536,8,1970-01-01 00:22:26,0.4200301711236619,3.627813262983182,6.6424108392982495
19,8,1970-01-01 00:22:27,16859.307299870794,18555.026882856106,20951.867686916547,8,1970-01-01 00:22:27,-0.005069916890516855,3.5217346339635784,7.5354823151300785
20,8,1970-01-01 00:22:28,12730.094571638616,14709.090175074081,15902.069077563767,8,1970-01-01 00:22:28,0.09288044238340139,3.3714043022454225,8.016843543350783
21,9,1970-01-01 00:22:16,9923.254154632032,11261.085829316142,12520.940387103914,9,1970-01-01 00:22:16,0.5104634121317212,3.7808098047592718,7.022772935570257
22,9,1970-01-01 00:22:17,100588.07947963111,106110.57255996423,119023.35608647419,9,1970-01-01 00:22:17,0.6616786469765087,3.597068747511905,6.5677429704675205
23,12,1970-01-01 00:22:16,4468.863331195126,4649.850776331988,8464.746418260052,12,1970-01-01 00:22:16,-0.15138210995343823,6.658922161006471,3.1611450394203326
24,12,1970-01-01 00:22:17,236.4764762049999,288.5743121200005,339.16028310000087,12,1970-01-01 00:22:17,-1.202019008745719,6.806605523662672,6.844399656592466
25,23,1970-01-01 00:22:16,20025.65672392572,20131.187193986,21831.742113570162,23,1970-01-01 00:22:16,-0.02611533944619217,4.297664923180012,7.626323258010469
26,23,1970-01-01 00:22:17,23131.341150065295,22031.947613539935,24338.15819826086,23,1970-01-01 00:22:17,0.3544899764144909,1.2827250190703523,7.385616638535313
27,23,1970-01-01 00:22:18,169457.66536117904,162596.80889576467,189483.03533621354,23,1970-01-01 00:22:18,0.6434580252175114,3.7600027495771933,6.112870334598492
28,23,1970-01-01 00:22:19,21494.475048880646,21542.309640120224,24740.46263235081,23,1970-01-01 00:22:19,-1.0975419207635495,2.9289685475874494,6.793522696163118
